response,page,survey
Do everything possible to ensure they don’t get lost in the system.  Address their unique needs in a timely fashion. Utilize best practices like those used at Student U and East Durham Children’s Initiative.,37,city
Durham needs to use more of its resources to deal with gun violence.,37,city
"Durham should offer more free programs for teens. Could offer training on things that would impact day to day living such as automotive, shopping for groceries, housekeeping and childcare.",37,city
We must make sure that the parents get their education and knowledge and the jobs to support their families. The children want to be proud of their community and help build it stronger.,37,city
"Each home is different and has different needs, but I think offering free/low-cost classes, programs to kids that includes transportation, and a snack would bring kids off the streets and into a staff environment where they can learn trades, sports, art, dance, exercise.",37,city
"Earlier intervention with services for children and families living in poverty, with emphasis on the social determinants of health and well-being and the ACE (Adverse Childhood Experience) scores for elementary school age children.",37,city
Early intervention to deter youth violence.,37,city
Education.,37,city
Education and protection.,37,city
Education and safety. Activities to keep children busy in safe environment.,37,city
"Education, food access for economically challenged. work study/mentorship for teenagers.",37,city
"Education, less government assistance. Advocate fathers in the home. Penalize those who don’t pay child support and encourage young men to treat women with honor and dignity. Do not feed child fear or law enforcement but to respect others.",37,city
Elevate the curriculum to bring overall score 3 to a 4 in Durham. Why does Target not have a teacher discount? Make it nice for teachers and they will want to come to our schools to teach.,37,city
Empower educators to work collaboratively to tailor programs that fit the educational needs of the children in their schools and allow for those children who require additional one on one help to achieve their best potential.,37,city
"Encourage all, don't teach CRT, don't lower the standards.  Re-enforce that each one is worthy and valuable.",37,city
Encourage two parents in household,37,city
Enforce existing codes and regulations!!,37,city
Enforce high standards for schoolteachers; keep school facilities maintained; support parks and recreation activities; get the criminals off the street and keep them off the street (address root causes of gang appeal for Durham youth).,37,city
"Enforce laws for their lawbreaking parents, and for the youth when they follow in their lawbreaking parents' footsteps.",37,city
Enhance scholarship opportunities for gifted children and extra help for those with special needs.,38,city
Enhance social services (free lunch for all) and issue uniforms in public schools to decrease unneeded stress on parents and shame for disadvantaged children.,38,city
"ensure access to education early with Pre-K. By 3rd grade all young people should be on a grade level, if not exceeding it.   All youth graduate HS and if not going to college, have the option for trade school/vocational programs.",38,city
Ensure adequate and appropriate schooling and education opportunities.,38,city
"Ensure school systems are high quality. Start after school programs, make tutoring programs available.",38,city
Ensure teenage stay in school until at least 12th grade.,38,city
Equal education for all.,38,city
"Equality, diversity, non-business across the board is the only way. I envision this happening.",38,city
"Established workshops, social events, planned teen clubs, etc.",38,city
Every child should get a good start in life with access to high quality health care and early childhood education.,38,city
Excellent teachers and programs.,38,city
Expand access & support for school counselors/college & post-secondary planning.,38,city
Facilitate axes to and use of educational cultural and social opportunities to all segments of population.,38,city
"Family should have the opportunity to send their children to schools that provide a rigorous and positive learning environment. Practically, this means providing charters, magnet schools, academic pathway opportunities, and private school scholarships and vouchers. The data bears this out, in that the highest performing middle and high schools in Durham are those where some manner of choice is involved, be it lottery, applications, or private school.",38,city
"Federal, state, and local budgets must consider education - not only academic but arts, vocational, environmental opportunities - a primary focus. Our recreational centers are a big help, but schools and proper school nutrition programs and extra interest programs are vital. Every child counts.",38,city
Find innovative ways to link to the local universities and large employers to support schools.,38,city
Fix the schools.,38,city
Focus on learning and not just test scores.  End EOG testing and focus on actually learning materials that will help later in life.,38,city
Focus on recruiting and maintaining high-quality teachers and other education professionals.,38,city
Food security. Access to public school resources - important to keep schools open during the pandemic so that students can access these resources.,38,city
"For minors, provide mentoring and educational tutoring support or partner with organizations that provide such services such as the Emily K Center. However, ALSO recognize that the city and county abs cannot not do the parents' job. Parents need to step up and do THEIR job as parents. Maybe some parents need training or mentoring on how to do that effectively...so maybe the city/county could offer that if it's not already available. But I, for one, am extremely tired of public funds be thrown repeatedly into areas that are properly the domain of parents, not the city/county, and more importantly, these measures never address the root causes of why some kids are falling behind, such as children having children and a total absence of any father figure in the child's life.",38,city
"For youth who get in trouble with the law, restorative justice programs are worthwhile.",38,city
Foster a no fail requirement for teachers and parents.,39,city
Free after school care. Free or low-cost school lunches.,39,city
"Free childcare, free pre-k for all.",39,city
Free or heavily subsidized preschool for all! Safe and inexpensive childcare and good wages for those in early childhood care.,39,city
"From kindergarten to high school our kids need excellent, well-paid teachers and safe school interiors and playgrounds. They should receive free healthy lunches.",39,city
Fully fund public schools. Pay teachers significantly more. Fully fund healthy food options. Fully fund club and after school sports activities. Fully fund transportation both for the schools and the public so that no student has to be at school before 8:30 am.   Fully fund restorative practices and mental health professionals in the schools. Fully fund deferred maintenance. Tear Githens down and start over.,39,city
Fully fund universal post-partum nurse home visits like those provided by Family Connects Durham.,39,city
"Fun pre k education, free after school programs.",39,city
Fund all public schools equally.,39,city
Fund or contribute more investment in public schools and related programs.,39,city
"Fund public health, abolish police, read the Youth Voices report published by the youth office and do those things. Involve youth from the start. Consider a youth bill of rights, created, and maintained by the youth of Durham.",39,city
Fund public schools and subsidize childcare.,39,city
Fund schools more.,39,city
Fund the schools.,39,city
"Funding for schools should be standardized and all kids should receive the same tools and resources, regardless of which school they go to.",39,city
"Get crime under control, especially shootings.",39,city
Get everyone into housing. Think out of the box. Make sure they get enough food. Make sure they are able to get to school.  Make buses free.,39,city
Get panhandlers off of hwy 70 and Miami and Sherron rd.!!!!!!,39,city
"Get rid of some of the layers of admin in the public school system, hire better teachers & allow taxpayers to have a direct voice in how our hard-earned tax dollars are spent on a school system that seems so far behind our neighbor counties.",39,city
Get rid of the gangs.,39,city
Give every school the finances and materials (tools) equally. Keep neighborhood schools.,39,city
"Give everyone the same opportunity & treat all children the same, not catering to one race or another! all, the same.",39,city
Give more incentives.,39,city
Give teachers and assistant teachers a raise.,39,city
"Go after gang activity to keep kids away from them! If kids have no responsible adult in their lives, have a mentor. More affordable and safe day/after care for children of working parents. More support for teachers!",39,city
Go back to teaching the basics of life values.,39,city
"Good public schools, tutoring, mentorship, family support, community activities.",39,city
"good schools, fair housing, affordable housing. good police services sensitive to poor people/minorities.",40,city
"Greater access to public parks, stronger schools, mentorship programs with local universities, access to affordable child-care & housing. Decrease gun violence.",40,city
GUN CONTROL so they may live beyond 16 -18 years old!!! Gang dissolution!,40,city
"Have (encourage) parental interest and involvement in their children, most important!",40,city
Have a curfew.,40,city
"Have different educational programs, a safe haven for the youth implements programs to help the youth thrive for excellence.",40,city
"Have more activities for school age kids and places for school age kids only just for teens, no outside r that what cause trouble.",40,city
Have more community-based programs for school aged children that are supervised and safe.,40,city
"have more free programs for all kids, different workshops for different interests.",40,city
Have more mentor programs for the youth. Between the ages of 10-18.,40,city
"Have more opportunities for them. Youth games free, training for sports free. Talent shows. Different opinion to enjoy life.",40,city
"Have more ROTC programs in our schools? Also more LEO friendly programs like P? ce week, Fire safety week.",40,city
Have more supervised after school programs.,40,city
Have more youth related programs.,40,city
Have parents get more involved with child instead of relying on the system so much.,40,city
Have place to enrich their potential tutoring programs for troubled youths that need an extra push.,40,city
Have recreational facilities with programs and transportation for the youth.,40,city
"Help eradicate poverty, higher and retain better teachers, train teachers, treat teachers with greater respect and increase teacher salaries.",40,city
Higher paid educators with better benefits and resources for public schools/teachers.,40,city
Higher salary for teachers and better quality of schools.,40,city
HIRE QUALITY TEACHERS AND ALLOW THEM TO INFLUENCE POLICY. SUPPORT TEACHERS NEEDS,40,city
Hire quality teachers and staffing in our public/charter schools. offer great recreational facilities and activities. Provide public/private partnerships/internships to promote good work habits.,40,city
Homework help for all. Start time too early.,40,city
"I strongly feel all children should be afforded the same opportunity, to be exposed to early childhood development as early as 3 years old. Also understand that everyone is not college material but is capable of learning a trade through proper training from a professional. That training and certification could afford them the opportunity to be homeowners, earn a decent salary, become a businessperson, and become a productive citizen instead of a gang banger. I believe kids need nurturing. We got money for everything else. We need a Job Corps Center in Durham at the Holton Center on Driver St.",40,city
"I think by building a few places for recreational interaction such as, skating, after school activities, bowling, help with homework, a safe place to thrive without fear of guns and violence, they need something to do to release their energy freely.",40,city
I worry about the lack of drive-in teenagers.,40,city
"Improve crime rate, more control of gangs.",40,city
Improve education/resources.,41,city
Improve our public schools.,41,city
"Improve our school system!!!!  We need smaller class sizes, more teachers, higher teacher pay, more support services to help students.",41,city
Improve our schools. Invest in education. Schools have been struggling since the city/county merged.,41,city
Improve public education facilities and teacher pay to attract top students.,41,city
Improve public school education in the city/county. Improve schools and teachers' salaries to attract and retain high quality teachers.,41,city
"Improve public school infrastructure to make schools a desirable place to learn and teach, support teachers, more affordable, quality childcare.",41,city
"Improve public schools (including better teacher pay to attract and retain good teachers, and seek out visionary, committed leaders in admin rather than the current revolving-door admin approach DPS seems to have); build more parks and green space in areas where they’re lacking (north gate mall could have been an amazing park!); improve recreational opportunities for kids all over Durham; build and staff more public swimming pools and start affordable swimming programs for kids (I was shocked at how few pools there were when I moved here); start apprenticeship/mentor programs for high school kids.",41,city
Improve public schools!,41,city
"Improve public schools, fee Pre-K.",41,city
"Improve public schools, increase number of charter schools, eliminate CRT from schools, provide for job training.",41,city
"Improve public schools, job opportunities, and recreation opportunities.",41,city
"Improve quality of schools and after school/summer camps and programs (this includes increasing teacher pay to attract quality instructors!!). MORE YEAR-ROUND SCHOOLS for K-8 so children have less learning loss and parents can budget for childcare during breaks that are spread out vs. all at one time (e.g., a traditional calendar summer). Educating our youth well and preparing them for the future with better learning opportunities will help children of Durham reach their full potential.",41,city
Improve schools.,41,city
"Improve schools, stop gangs.",41,city
"Improve teacher training, administrative training. Improve teacher retention. Provide highly trained teachers. Improve teacher salaries. Make sure children have access to technology.",41,city
Improve the facilities in all the neighborhoods not just the wealthy neighborhoods.,41,city
Improve the public school system.,41,city
Improve the quality of the public-school education opportunities.,41,city
Improve the schools and the after-school care.,41,city
Improve underserved schools. Improve services for 'at risk' youth. Improve job opportunities for parents and teenagers. Lower cost of quality childcare.,41,city
Improved access to childcare.,41,city
"In my mind, it’s more what the STATE can do-expand Medicaid. Also, work on those school buildings.",41,city
"In the public schools located in lower income areas, allow more money to go to these schools to make smaller class sizes, more opportunities for students, pay teachers more.",41,city
Increase access to mentoring.,42,city
Increase parental involvement.,42,city
Increase resources and pay for teachers.,42,city
Increase school funding.,42,city
"Increase teacher pay, broaden the curriculum, stop giving charter schools money meant to fund public schools.",42,city
Increase teacher salaries and support them in their efforts to help students thrive.,42,city
Increase teacher’s salary.,42,city
"Increase teen services and jobs. Mental health support, more pre k.",42,city
Increased availability/access to free/low cost before/after school resources; free school breakfast and lunch; universal free pre-k.,42,city
"Invest in DPS- more/better schools, less charters, better districting for more equitable school communities, pay teachers/staff enough to live in Durham.",42,city
Invest in every area of life for all age groups being guided by statistics of age of residence.,42,city
"Invest in more opportunities for the youth (13-18) to have more fun after school programs that are free or low cost. Invest in art, dance, and music programs for kids.",42,city
Invest in public education.,42,city
"Invest in public schools and early childhood education programs, increase public safety.",42,city
Invest in quality of public schools and transportation to and from those schools.,42,city
Invest in resources for equitable education.,42,city
Invest in schools. Defund police.,42,city
Invest in teacher salary and development.,42,city
Invest in the public school system to dismantle segregated learning communities. This impacts the quality of educators who decide to work on these spaces. And all children deserve high quality professionals.,42,city
Invest in the school system and in recruiting highly qualified teachers and retain them through initiatives and fair and competitive pay.,42,city
"Invest in your schools. Decrease taxes to incentivize businesses to keep moving into Durham. More jobs, good education, less taxes=less at-risk youth looking to make ends meet by dropping out to work or join gangs.",42,city
"Invest in youth activities and after school care with sports so they can learn to work together as teams and have good role models to help them grow. Fix the public schools so we don't have to pay $20,000 every year in private school tuition anymore. You are losing the parents who could make your schools great by not providing enough structure and safety in the DPS schools. We have all had to flee to private schools.",42,city
Invest more in early education--supporting subsidy slots for ALL 3- and 4-year old's and improving the early childhood education workforce.,42,city
Invest more in public schools and reward quality educators. Cease financial support of so-called charter schools and return those funds to public schools where they belong!,42,city
Invest more in public schools. We should be the most attractive school district in the nation for teachers and ALL students. Offering both academic and vocational high-quality opportunities.,42,city
Invest more money into the police school system and private / charter school funding.,42,city
invest seriously and significantly in parks and programming. increase funding for public schools. aggressively re-district to create more solid economic diversity in Durham Public Schools.,42,city
"It starts with education and outreach programs, community involvement, and I willingness to provide volunteer opportunities for adolescent youth as a part of survey price and community involvement. Allowing young people to experience in many aspects of their arm county and city government and all it provides fosters and creates the ability to retain the N key vocal talent, and creates a better understanding of the need’s germs use particularly between the middle school and high school years were most kids find themselves most of suspectable to climbs drugs etc.",43,city
Keep improving the quality of schools in all neighborhoods.,43,city
Keep our children safe.,43,city
"Keep schools safe. Good teachers. Adequate discipline Parent involvement, more charter school options.",43,city
Keep the public parks and recreational facilities safe. Improve the quality of public schools.,43,city
Keep them alive by stopping all these flagrant red-light runners. These northern folks need to leave their impatient driving habits behind when they move south. Less financial support from the govt- they become so dependent and lazy. They need to learn the ropes of life.,43,city
Let's try to do a little bit more education and making the schools fun to come to and give them a more activities in school with athletics things happening on campus led the recreation department come together with the schools and the police department and the fire department let's get everybody involved and let's try to attend at least two schools a month until we accomplish all of our schools have something on those campuses while they're going to school and let them know it's all about education.,43,city
"Maintain our parks and schools. We seem to have millions to build new, but we let things fall into disrepair all too quickly.",43,city
Make all equal. More after school programs.,43,city
"Make Durham public school the best schools in the state. Have free childcare options, pre-K, and social programs for all ages. Durham should be the benchmark for education and social services in NC.",43,city
Make neighborhoods safe.,43,city
Make neighborhoods safe for kids to be outside (speed bumps).,43,city
Make parents accountable for standing at the bus stop with their children under the age of 12. Go to the schools and the children and the youth what can be done to help them reach their full potential and thrive.,43,city
Make public school budgets a top priority.,43,city
Make sure access to schools is open to everyone. Erase procedure that favors more affluent families when it comes to school selection.,43,city
Make sure materials and staff are plentiful in schools.,43,city
Make sure parents have opportunities.,43,city
"Make sure parents understand a lot of their children thrive & potential start with them supporting and helping them develop their dreams & desires. Help parents understand that DPR is a great starting place to introduce their children to arts, sports, writing, etc. before enrolling them in private class.",43,city
Make sure public schools in lower income areas are given the same opportunities as those in higher income.,43,city
Make sure they have a safe place to live and can get help when they call 911.,43,city
"Make the neighborhoods safer for kids to openly play outside. There are a lot of homeless, drugs and gunfire around our neighborhood that prevent me from letting my child outside alone.",44,city
Make the Southpoint mall a safe place to go.,44,city
Maybe some type of family therapy services?,44,city
Meet student’s needs.,44,city
Mentorship programs.,44,city
"Middle & high school, provide more after school programs.",44,city
Monitor educational progress in schools.,44,city
More activities and sports throughout the city.,44,city
More activities for children.,44,city
More activities for youth.,44,city
"More activities that encourage different race, ethnicity, and nationality to coexist and learn from one another.",44,city
More affordable housing mixed with new development.,44,city
"More after school and summer programs for all ages. Include reading, math, and language enhancement. Arts, dance, band and singing opportunities. Plenty of games both physical and mental.",44,city
More after school educational programs.,44,city
More after school programs to give All children the opportunity to thrive in a healthy lawful way.,44,city
more communication with new parents in area.,44,city
More community-based activities and free transportation to get them there.,44,city
More community recreation activities.,44,city
More discipline. Less wokeness. No CRT.,44,city
"More drug enforcement in schools, drug sniffing dogs, drug testing for athletes and more enforcement in locker rooms and bathrooms and mental health supports for students and teachers/staff, more police officers. The ones we have are fantastic, but we need more. Teachers need less pressure, more support, money for supplies and adequate pay. The magistrates are confused, and you never know what to expect, I have had to file a number of IVCs because of my job and the process can be quite frustrating because of inconsistencies and even misinformed magistrates. Also, sometimes they are rude, and the office is not staffed. One time I wakes into the jail entryway, and no one was there for 90 minutes, no security, no magistrate, no one and then the magistrate was extremely rude and belittling.",44,city
More free community centers. More free sports activities.,44,city
More funding for schools.,44,city
"More funding into youth outreach, juvenile support.",44,city
More funding to renovate schools. invest more /get involved.,44,city
more interaction with police so they recognize police as friends and trusted advisers. Make sure class sizes do not exceed 25 students with a goal of 20 max. Dismiss non-performing educators.,44,city
More involvement and community engagement.,44,city
More mentoring.,44,city
More mentors and programs that provide transportation for those who don’t have it for the children and teens.,44,city
More money for education for the young. Ok to raise taxes for our youth.,44,city
"More money for student and schools, teacher salaries.",44,city
"More money to school. More services to those that fall outside the typical range (so both gifted and special needs). Opportunities for low-income kids to participate in music, arts, sports, stem etc.",45,city
"More Montessori magnets, more school of the arts magnets.",45,city
More pre k opportunities.,45,city
More programs to help after school not involve in gangs and crimes for underprivileged.,45,city
More programs to keep the children/teens off the street.,45,city
More public volunteer services/projects available thru schools for outreach in the community.,45,city
More recreational activities.,45,city
More recreational centers and planned activities for teenagers.,45,city
More recreational facilities and be more involved in community support.,45,city
More resources for schools.,45,city
"More subsidized youth athletic programming. Sidewalks and protected spaces for kids to move and play. Equitable distribution of public-school funding, divorced from zip code and neighborhood property values. Greater vaccine distribution availability and rapid testing sites. Keeping police out of classrooms. Not putting in the juvenile detention facility in downtown Durham and maintaining the classroom to jail pipeline for our Black and Hispanic community.",45,city
"More youth programs, ways for them to get involved.",45,city
"My child starts pre-k next yr., thankful for the opportunity.",45,city
"My children are all adults and grew up elsewhere, so I am not qualified to answer.",45,city
"Need a rec center, swimming pool.",45,city
Need more apprentice programs. Some kids don’t need to finish high school they can get a GED and go to trade school. Need to offer part time jobs starting in middle school.,45,city
Neighborhood school funding. Less money spent on magnet.,45,city
"Not sure however, provide assistance to parents in providing guidance to their children and other youths.",45,city
"Offer equally educational opportunities; teachers, supplies, computers/laptops, uniforms, sport equipment, etc. Up-to-date equipment and facilities. Free 2-year community college.",45,city
"Offer more outside spaces for families. Outdoors track facilities, entertainment capacity. Recruit better teachers and police officers.",45,city
Offer more recreational opportunities such as outdoor basketball courts and tennis courts and baseball fields and indoor courts as well.,45,city
Offer more/some job to teens it will help keep them out of gang and off the street.,45,city
"Offer programs that teach civics, and leadership. Internships with companies and small businesses. Ways to become entrepreneurs.",45,city
"Offer training for youths, more recreational activities.",45,city
"Offering a wide range of activities for pre-teens to encourage exercise, arts, and learning.",45,city
One big problem is gang control. I have been robbed at gun point by very young kids.  I say ages 15 to 18. Kids need to stay in school and have a plan in place for their future.,45,city
"Organize athletic programs, tutoring, mentorship programs for all youth. This is an opportunity to create jobs.",45,city
